Item,,,,Produced by:,Michael Gangl,MDPS,,,
Level 1,,,,on:,12/14/23,JPL,,,
Parent,ID,Level,Name,Rationale,VnV Method,VnV Approach,Tags,VnV Component,VnV Feature
,MDPS_L1_REQ-1,L1,"The MDPS project shall provide a platform to process, store, manage, and provide access to science data products.","The processing of science data into science products is a primary goal of the MDPS. This applies to multiple project types: flight, R&A, outreach, formulation projects for earth, planetary, and solar system; Storing and managing the data enable data product reproducability and discovery.
 
 
   
 
 
  The science products can be standard, reprocessed, or bespoke- there is no requirement on what type of products can be generated.",,,eso-prototype,,
,MDPS_L1_REQ-2,L1,"The MDPS project shall provide a platform to develop, test, and validate product generation algorithms in an operations-like environment.","""Requirement enables faster algorithm development, test, and validation via fewer hand offs and complete self servicing (automated algorithm packaging, ability to run in an ops like SDS without hand offs). This applies to multiple project types: flight, R&A, outreach, formulation projects for earth, planetary, and solar system;
 
 
 
 Development: initial creation and improvements of software algorithms
 
 Test: unit and system integration into an ops like environment
 
 Validate: Analysis of test or production generated data products, visualization of products, comparisons to other known data (e.g. Cal/Val), matchup services""",,,eso-prototype,,
,MDPS_L1_REQ-3,L1,The MDPS project shall provide a platform for use by three or more projects,"The MDPS science data system is a singular platform with multiple instances of project based functionality. That is, many projects can use the MDPS, but many of the managed services will be specific to the project and venue of that project.
 
 
   
 
 
  Formerly a multi-tenant requirement;
 
 
   
 
 
  We also specify 3 (as a minimum ) projects to drive requirements for eventual MMO Staffing, support, and design of the system.",,,eso-prototype,,
,MDPS_L1_REQ-4,L1,The MDPS project shall provide a platform comprised of managed services.,"This will minimize setup time, resources, and workforce needed to spin up and make services available.
 
 
   
 
 
  Managed services are a systematic way of deploying, upgrading, and removing a service.",,,eso-prototype,,
,MDPS_L1_REQ-5,L1,The MDPS shall enable open science through compliance with SPD-41a and ESD-specific open science policies.,"The main tenants of Open Science MDPS seeks to fulfill are:
 
 
 
 Open methodology - sharing of Algorithm Theoretical Basis Documents, provenance, reproducability
 
 Open source - Share code and processing
 
 Open data - Share data and results
 
 Open access - access to data where not strictly prohibited
 
 Open educational resources",,,eso-prototype,,
,,,Level 2 and Level 3 requirements,,,,,,
,TXT-9,,Science Processing,,,,,,
MDPS_L1_REQ-1,MDPS_2_REQ-1,L2,"The MDPS shall provide the capability to execute, manage, and monitor data processing workflows in a science processing platform. (Science Processing Platform)","Execute: Includes Forward Stream, Bulk, on-demand, and data simulations executions - based on CWL workflows, WPS-T deployment and undeployment of workflows. 
 
 Manage: execute, retry, 
 
 Monitor: monitor execution(s)",,,eso-prototype,sps,
MDPS_2_REQ-1,MDPS_2_REQ-2,L3,The science processing platform shall provide a Web Processing Service Transactional(WPS-T) interface for workflow management,"WPS-T includes the WPS and the additional transactional standards for the deployment, undeployment of processes.",Test,Integration Test; Test the WPS-T interface and its endpoint by submitting required input parameters and receiving a successful response back.,"eso-prototype, interface",sps,wpst.feature
MDPS_2_REQ-1,MDPS_2_REQ-3,L3,The science processing platform shall meet product generation requirements as defined in the MDPS service level agreement (SLA).,"Scaling, or procurement of hardware necessary to complete processing for a given project (forward stream, bulk reporcessing, on-demand, event driven, etc). All must be defined in the project level SLA. The SLA shall include scaling, timing, availability and failiure targets",Test,System Test,,sps,sla.feature
MDPS_2_REQ-1,MDPS_2_REQ-4,L3,The science processing platform shall allow execution of workflows conforming to the Common Workflow Language (CWL) specification,"The interface specification(s )for science workflows capable of being run in the MMDPS science processing system. This will also necessitate implementations of functionalities (scatter, chaining, etc). Version info TBD",Test,Integration Test,"eso-prototype, interface",sps,cwl.feature
MDPS_2_REQ-1,MDPS_2_REQ-5,L3,The science processing platform shall be able to execute workflows concurrently,The system needs to be able to execute workflows in parallel and take advantage of the available resources,Test,System Test,eso-prototype,sps,concurrent.feature
MDPS_2_REQ-1,MDPS_2_REQ-7,L3,The science processing platform shall provide capabilities to recover from workflow failures,"Failures and how they are to be recovered from are defined by MMDPS Projects. Automate product generation recovery would be ideal, but some cases my require a user intervention. Some examples: transient hardware/network issues, staging/data access issues, etc. Unexpected interface changes.",Test,System Test and UAT,,sps,recovery.feature
MDPS_2_REQ-1,MDPS_2_REQ-8,L3,The science processing platform shall allow project defined rules for executing product workflows.,"Allow projects to define production run rules for a given workflow. These rules could be based on event or trigger (e.g. data availability), timing (every day at midnight, like a cron), or on-demand process (e.g. a web service API). In more advanced scenarios, an external event could initiate processing (e.g. a natural disaster). The workflows are defined ahead of time, but the rules for executing them need to be defined by a user or project (e.g. data availability, cron jobs, etc)
 
 
   
 
 
  The rules a project can leverage include:
 
 
   
 
 
  
 Chaining one workflow completion to the instantiation of another. 
 Data delivery based workflow execution 
 API driven execution (e.g. an explicit command is sent to execute a given workflow)",Test,System Test and UAT,eso-prototype,sps,project_rules.feature
MDPS_2_REQ-1,MDPS_2_REQ-10,L3,"The science processing platform shall provision, manage, and release resources required for workflow processing","The ability to scale up and down processing where applicable to support various workflows and throughput requirements. minimum and maximum on scaling, pre-warming (e.g. proactive scaling), metric based scaling (e.g. CPU, job wait time), scaling down. There are Processing Services environments where this capability may be moot (e.g. on-prem, non-dynamic clusters).",Test,System Test,eso-prototype,sps,resources.feature
MDPS_2_REQ-1,MDPS_2_REQ-11,L3,The science processing platform shall provide workflow and application package execution metrics,"ideally, a single system (e.g. kibana, cloudwatch, etc) to aggregate metrics in a single place for all MMDPS services. The metrics can be filtered, based on the user/role to specific information or not.",Test,System Test,,sps,metrics.feature
MDPS_2_REQ-1,MDPS_2_REQ-12,L3,The science processing platform shall provide workflow error and status messages to end users,"In a distributed system, errors and log messages need to make their way back to the user in one way or another- especially for troubleshooting data flows and processing errors. This does not require or preclude a 'common' mechanism for error log presentation and retention.",Test,System Test and UAT,,sps,information_propagation.feature
MDPS_2_REQ-1,MDPS_2_REQ-13,L3,The science processing platform shall generate provenance for generated products,"The provenance information, or how a product was made, the inputs, and the configurations used shall be stored in the MMDPS.",Test,System Test,,sps,provenance.feature
MDPS_2_REQ-1,MDPS_2_REQ-14,L3,"The science processing platform shall be capable of executing workflows on cloud, on-premise, and HPC compute environments.",The ability to move workloads to dedicated infrastructure (HPC) or cloud is a desired capability of the system for future proofing the implementations.,Test,"Integration Tests, System Test",,sps,hybrid.feature
MDPS_2_REQ-1,MDPS_2_REQ-162,L3,The science processing platform shall provide the capability to prioritize workflow executions.,Prioritize workflow executions (e.g. NRT is higher priority than reprocessing).,Test,System Test,eso,sps,priority.feature
MDPS_2_REQ-1,MDPS_2_REQ-187,L3,The science processing platform shall be capable of one-off or reprocessing campaigns while maintaining forward processing,Forward processing and reprocessing are required of the system.,Test,System Test,"eso, non-functional",sps,non_func_parallel_process.feature
MDPS_2_REQ-1,MDPS_2_REQ-186,L3,The science processing platform shall be capable of reprocessing data at 3x the forward rate.,"Performance Requirements to support the ESO missions, in this case SBG.",Test,System Test,"eso, non-functional",sps,non_func_3x..feature
MDPS_2_REQ-1,MDPS_2_REQ-188,L3,The science processing paltform shall be capable of processing a forward rate of 82 Tb of data in a 24 hour period,SBG (18Tb) + Mass Change (8TB) data processing requirements,Test,System Test,"eso, non-functional",sps,non_func_throughput.feature
MDPS_2_REQ-1,MDPS_2_REQ-189,L3,The science processing platform shall be capable of producing workflow outputs within 24 hours <TBD> of job submission,"SBG, MC, and AOS requirements differ here, but the latency requirement is as fast as '24 hours' from data observation. 
 
 
   
 
 
  We can't commit to data observation schedules, so we use 'job submission' times instead. need more information on the SDS budget from a time perspective.",Test,System Test,"SLA, eso, eso-prototype, non-functional",sps,non_func_latency.feature
MDPS_2_REQ-1,MDPS_2_REQ-193,L3,The science processing platform shall support the usage of ancillary data files up to 1TB in size,"Requirements for processing capabilities from Sips in the cloud requirements,",Test,System Test,"SLA, eso, non-functional",sps,non_func_anc_size.feature
MDPS_2_REQ-1,MDPS_2_REQ-9,L3,The science processing platform shall provide the capability for project customizable data production reporting,"Different projects will have different reporting needs, from latency reports to distribution/usage reports, these need to be customizable from the project perspective. Reports are usually on behalf of Project Users (e.g. Project Processing Services Operators), but could be generalized to MMDPS Staff (uptime for a service area). Other reporting: workflow reporting, product reporting, project reporting including latencies, performance, failures.",Test,System Test,eso-prototype,sps,data_production_reporting.feature
MDPS_2_REQ-1,MDPS_2_REQ-6,L3,The science processing platform shall provide a user interface for workflow monitoring,"Monitor data production via a UI, including throughput, errors, timings, and product reporting.",Test,"System Test, UAT",eso-prototype,sps,ui.feature
MDPS_2_REQ-1,MDPS_2_REQ-174,L3,The science processing platform shall provide aggregate workflow execution metrics,"Aggregate metrics include:
 
 
  
 current jobs being run 
 errors 
 average workflow run times 
 successful runs 
  
 
  these metrics allow for the user to ascertain the health of the processing pipelines and latency for data production audits.
 
 
   
 
 
  Aggregate metrics can be for all workflows or a specific workflow.",Test,System Test,eso,sps,aggregate_metrics.feature
MDPS_2_REQ-1,MDPS_2_REQ-175,L3,The science processing platform shall provide workflow execution metrics by user specified time frames,Allow for aggregation metrics by user defined time (e.g. past 24 hours).,Test,System Test,eso,sps,aggregate_metrics_time.feature
MDPS_2_REQ-1,MDPS_2_REQ-176,L3,The science processing platform shall provide detailed logs for workflow executions,"The ability to view log messages is critical in debugging issues and errors in workflows. Data production can have errors in input data, formats, data availability, transient errors, and more. Often times the logs are the quickest way for an operator to understand the nature of an error and a fix/work around.",Test,"System Test, Submit a CWL workflow that will generate a log with the following information:
 
 
   
 
 
  1. Generate logs that contains Errors and/or Warnings from workflow execution/processing and data production.
 
 
  2. Logs will contain timestamps for when each message gets created.",eso,sps,detailed_logs.feature
MDPS_2_REQ-1,MDPS_2_REQ-177,L3,The science processing platform shall be capable of listing workflow executions,"Monitoring requires a basic investigation of the workflow executions, status, and metadata. Listing these executions for programmatic exploration or UI exploration.
 
 
   
 
 
  While the WPS-T requirement also provides for listing workflows, this would not be limited to listing by OGC WPS ""Processes"", and could span multiple processes (i.e. deployed product generation workflows).",Inspection,Visually examine a list of workflow execution status on the Dashboard (Programmatic exploration or UI exploration).,"eso, eso-prototype",sps,execution_listings.feature
MDPS_2_REQ-1,MDPS_2_REQ-178,L3,The science processing platform shall be capable of filtering workflow execution metrics by workflow metadata,"Filtering of the workflow by workflow metadata: submisison time, status, etc.",Test,"System Test, Demonstrate the filtering mechanism via workflow metadata - submission time, status, etc.",eso,sps,execution_listing_filter.feature
MDPS_2_REQ-1,MDPS_2_REQ-179,L3,The science processing platform shall be capable of notifying users of workflow execution errors,Operators can be alerted to workflow errors as they occur. The mechanisms for 'alerts' is implementation specific.,Test,"System Test, UAT, Submit a CWL Workflow with incorrect inputs (incorrect filename or missing files from database). Ensure User gets notified of the Workflow error after the execution fails.",eso,sps,error_notification.feature
MDPS_2_REQ-1,MDPS_2_REQ-180,L3,The science processing platform shall be capable of listing recent workflow execution notifications,"workflow execution notifications can include notices of success, failure, latency triggers, etc.",Test,"System Test, Visually inspect that the dashboard and logs contain various notifications (success, failures, latency triggers) from the workflow execution.",eso,sps,error_notification_listing.feature
MDPS_2_REQ-1,MDPS_2_REQ-167,L3,The science processing platform shall provide the capability to execute workflows based on data availability,Ability to start a workflow when data are made available is a key ability.,Test,"System Test, Integration Test, 1. Submit the CWL Workflow via Jupyter Notebook for processing. Ensure that the workflow completes and generates a product.
 
 
  2. Submit the CWL Workflow via Python Script (API) for processing. Ensure that the workflow completes and generates a product.",eso,sps,availability.feature
MDPS_L1_REQ-1,MDPS_2_REQ-15,L2,The MDPS shall provide the capability to author and update data processing workflows.. (Workflow Authoring Tool),"Workflows are comprised of Algorithms (application packages) and other workflow steps that are used to encapsulate complex processing. This tool will allow projects to define project specfic workflows including the inputs, steps, and outputs. Workflows can also define scattering/mapping, reduction, and the triggering of other workflows.",,,,workflow_authoring_tool,
MDPS_2_REQ-15,MDPS_2_REQ-16,L3,The workflow authoring tool will provide a UI to users for the authoring of workflows,"Workflow languages can be complex, a UI for a visual editor or workflows is ideal for seeing the flow. Not the will in the requirement text. This is a future requirement to enable the _simple_ development of workflows and adoption of the CWL system.",Test,"System Test, UAT",,workflow_authoring_tool,
MDPS_2_REQ-15,MDPS_2_REQ-17,L3,The workflow authoring tool shall provide workflow syntax validation,The tool needs to let a user know if they are creating a valid or invalid workflow based on workflow specifications and application package requirements,Test,System Test,,workflow_authoring_tool,
MDPS_2_REQ-15,MDPS_2_REQ-18,L3,The workflow authoring tool shall provide the capability to publish workflows to a workflow catalog,"Given a workflow in the tooling, it can be published for use in the MMDPS science processing system",Test,System Test,,workflow_authoring_tool,
MDPS_2_REQ-15,MDPS_2_REQ-19,L3,The workflow authoring tool shall allow discovery of available application packages in the MDPS application catalog for inclusion in authored workflows,"Being able to discover and ""insert"" an existing application package (CWL workflow) in the application catalog for inclusion in workflows",Test,System Test,,workflow_authoring_tool,
MDPS_2_REQ-15,MDPS_2_REQ-20,L3,The workflow authoring tool shall allow discovery of available processing workflows in the MDPS workflow catalog for duplicating and updating,"Allow for the 'copy' or 'save as' so that someone can take an existing workflow and repurpose it for their own use case. using the published workflow as a ""starting point"".",Test,System Test,,workflow_authoring_tool,
MDPS_2_REQ-15,MDPS_2_REQ-183,L3,The workflow authoring tools shall provide example template workflows,Provide example workflows for reference and user education. these can also be copied and modified to provided a basis of getting started in workflow authoring.,Test,System Test,eso,workflow_authoring_tool,
MDPS_L1_REQ-1,MDPS_2_REQ-21,L2,"The MDPS shall provide a shared workflow catalog for the registration, search and access to processing workflows (Workflow Catalog)",Need a shared service for the cataloging of workflows (consisting of one or more applications packages and tasks) to enable the handoff between different venues.,,,eso-prototype,workflow_catalog,managed_service.feature
MDPS_2_REQ-21,MDPS_2_REQ-22,L3,The workflow catalog shall allow the publishing of data processing workflows,Needs to be able to take in new or versioned workflows and make them available in the system.,Test,System Test,eso-prototype,workflow_catalog,publication.feature
MDPS_2_REQ-21,MDPS_2_REQ-23,L3,The workflow catalog shall allow access to workflows,"be able to 'download' the artifact representing the executable workflow, includes the sharing of it with other users.",Test,System Test,eso-prototype,workflow_catalog,access.feature
MDPS_2_REQ-21,MDPS_2_REQ-24,L3,The workflow catalog shall allow deletion of workflows,Workflows can be deleted from the system; but references to the workflow should persist for provenance purposes- this essentially acts as a deprecation or 'do not user' flag,Test,System Test,,workflow_catalog,workflow_deletion.feature
MDPS_2_REQ-21,MDPS_2_REQ-25,L3,The workflow catalog shall allow discovery of workflows,"e.g. a browsable/filterable way of finding workflows, can't expect users to know of all the published workflows through some other mechanism.",Test,System Test,eso-prototype,workflow_catalog,discovery.feature
MDPS_2_REQ-21,MDPS_2_REQ-26,L3,The workflow catalog shall maintain a record of deleted workflows,Deleted workflows are 'marked as deleted' and not deleted from the system so that provenance can continue,Test,System Test,,workflow_catalog,workflow_deletion_record.feature
MDPS_2_REQ-21,MDPS_2_REQ-27,L3,The MDPS shall provide the capability to publish multiple versions of a workflow,"workflows can change over time, so allow for versioned workflows. Previous workflows should be discoverable especially from provenance standpoints.",Test,System Test,eso-prototype,workflow_catalog,workflow_versions.feature
MDPS_2_REQ-21,MDPS_2_REQ-28,L3,The workflow catalog shall provide the capability to restrict access to workflows,"Allow projects to decide who can access a workflow, useful for development purposes.",Test,System Test,,workflow_catalog,access_restrictions.feature
MDPS_2_REQ-21,MDPS_2_REQ-184,L3,The workflow catalog shall provide error messages upon invalid requests,"Errors can occur when an ill-formatted workflow are supplied, missing parameters, or permissions baed issues arise.",Test,System Test,eso,workflow_catalog,errors.feature
MDPS_2_REQ-21,MDPS_2_REQ-216,L3,The workflow catalog shall be available 99.9% of the time or greater,"Due to dependencies on the component, the availability requirement for the shared service is greater than the other specified (99%) requirements.",Test,"System test and monitoring availability over the course of a rolling day, week, month","eso, non-functional",workflow_catalog,uptime.feature
,TXT-10,,Generic Data Services,,,,,,
MDPS_L1_REQ-1,MDPS_2_REQ-29,L2,The MDPS shall provide a shared data catalog for cataloging and search of MDPS data products based on product metadata. (Data Catalog),"The data products (e.g. files) are stored in project/venue specific locations, but the metadata for _finding_ those is stored in shared, multi-tenant catalog. Catalog products include generated products and products needed to generate science data products (ancillary, auxiliary, lower level products) where applicable. Search includes name, type and other searchable options. It is not the responsiblity of the data catalog to generate metadata for the products, it must be told. The catalog will also accommodate custom metadata provided by the project/venue either dynamically or through pre-registration of those fields.",,,eso-prototype,data_catalog,managed_service.feature
MDPS_2_REQ-29,MDPS_2_REQ-30,L3,The data catalog shall allow search on cataloged products through a Data Access and Processing API (DAPA) interface,DAPA as the interface for searching and (some) data based processing requests,Test,System Test,"eso-prototype, interface",data_catalog,dapa.feature
MDPS_2_REQ-29,MDPS_2_REQ-31,L3,The data catalog shall allow search for data products by parent collections,"a collection is a container for all the products within it. A product (consisting of one or more files such as data, metadata, checksums, browse imagery, etc) is usually a spatial or temporal subset of the entire collection. That is, 12 monthly products would make collection with one year of coverage.",Test,System Test,eso-prototype,data_catalog,parent_collections.feature
MDPS_2_REQ-29,MDPS_2_REQ-32,L3,The data catalog shall allow notifications of newly cataloged data products,"To enable sharing or value added processing, when data are available or registered in the system, a user should be able to be notified of its availability. This might be useful in Processing Services forward processing, on-demand processing, etc, where higher level data products are processed from lower level data products. non-standard workflows might also be run through the analysis service area. For example, if a new product comes in, an application users might want to automatically kick off processing to incorporate that data into a weather prediction, etc.
 
 
   
 
 
  Formerly ""subscription"" now ""notification""",Test,System Test,,data_catalog,notifications.feature
MDPS_2_REQ-29,MDPS_2_REQ-33,L3,The data catalog shall return search results in STAC (SpatioTemporal Asset Catalogs) format,STAC as an interchange format for collection and product search results,Test,System Test,"eso-prototype, interface",data_catalog,stac.feature
MDPS_2_REQ-29,MDPS_2_REQ-34,L3,The data catalog shall allow search for data products on spatial and temporal metadata.,Space and time searchability is mandatory,Test,System Test,,data_catalog,spatiotemporal_search.feature
MDPS_2_REQ-29,MDPS_2_REQ-35,L3,The data catalog shall provide the capability to discover collections,"Collection discovery includes listing all collections, filtering collections based on specific criteria (e.g. processing level, spatial and temporal coverage)",Test,System Test,eso-prototype,data_catalog,collection_discovery.feature
MDPS_2_REQ-29,MDPS_2_REQ-36,L3,The data catalog shall catalog products with required metadata as specified in <DATA-CATALOG-TBD>,"file creation, file name, tenant, venue, provenance, type (product, aux/anc), TBD",Test,System Test,eso-prototype,data_catalog,ingest_with_required_metadata.feature
MDPS_2_REQ-29,MDPS_2_REQ-37,L3,The data catalog shall provide the capability to search data products on project provided metadata,"Aside from required metadata (file creation, file name, tenant, venue, provenance, type (product, aux/anc), projects should be able to provide their own product based metadata. This might include things like a processing identifier (forward, reprocessing), cloudcover, and more.",Test,System Test,,data_catalog,project_define_metadata.feature
MDPS_2_REQ-29,MDPS_2_REQ-38,L3,The data catalog shall require provenance information for all cataloged records.,"To provide provenance in the system, cataloged items require a lineage of where the product came from, and optionally how it was created. For data from a GDS it would be the record of when this data was delivered. For data from a DAAC&lt; it would include a link to the original data and time of retrievela. For generated data, it would include th inputs, processing workflows, and processing environment provenance.",Test,System Test,,data_catalog,provenance.feature
MDPS_2_REQ-29,MDPS_2_REQ-39,L3,The data catalog shall provide the capability to restrict operations to authorized users.,"Catalog needs some protections for ""restricting"" actions on the data catalog. For example, restricting search results to data based on some mechanisms. This could be to enable ""open"" data, or to restrict access within a project to only select team members. 
 
 
   
 
 
  This will also include the ability to _create_ collections, delete collections, and add data to a collection (which you may not own).",Test,System Test,eso-prototype,data_catalog,authorized_users.feature
MDPS_2_REQ-29,MDPS_2_REQ-214,L3,The data catalog shall be available 99.9% of the time or greater,"Due to dependencies on the component, the availability requirement for the shared service is greater than the other specified (99%) requirements.",Test,"System test and monitoring availability over the course of a rolling day, week, month.","eso, non-functional",data_catalog,uptime.feature
MDPS_L1_REQ-1,MDPS_2_REQ-40,L2,The MDPS shall allow the capability to deliver data products to NASA approved archives (archive system),"The ability of an SDS to send or notify an archive of data ready to be stored for long term preservation is a key requirement of any SDS. The SDS may contain a life of mission storage, but is not the long term location for data archival.",,,,archive_system,
MDPS_2_REQ-40,MDPS_2_REQ-41,L3,The archive system shall provide a common mechanism for delivering data to DAACs,DAACs are one of the archive systems the MDPS SDS must interact with.,Test,"System Test, Integration Test",,archive_system,daac_interface.feature
MDPS_2_REQ-40,MDPS_2_REQ-42,L3,The archive system shall provide a common mechanism for delivering data to PDS nodes,PDS nodes are one of the archive systems the MDPS SDS must interact with.,Test,"System Test, Integration Test",,archive_system,pds_interface.feature
